City,ID,Country,latitude,longitude,Date,Temperature,Cloudiness,Humidity,Wind Speed
half moon bay,5354943,US,37.46,-122.43,1588347984,286.53,20,87,3.1
vila franca do campo,3372472,PT,37.72,-25.43,1588347985,291.15,75,93,9.8
varzob,1220197,TJ,38.77,68.82,1588347986,289.15,40,87,1.0
lucea,3489657,JM,18.45,-78.17,1588347988,302.09,20,70,3.6
port hedland,2063042,AU,-20.32,118.57,1588347990,292.15,0,25,4.1
pokhara,1282898,NP,28.23,83.98,1588347991,290.92,100,49,1.98
erenhot,2037485,CN,43.65,111.98,1588347992,295.22,3,20,2.39
takoradi,2294915,GH,4.88,-1.76,1588347993,302.82,30,69,4.33
gasa,281133,PS,31.5,34.47,1588347994,295.13,10,53,4.6
cidreira,3466165,BR,-30.18,-50.21,1588347996,293.43,34,59,4.98
vuktyl,470905,RU,63.86,57.31,1588347997,273.81,100,93,1.64
saly,715930,HU,47.95,20.67,1588347998,288.48,100,73,2.76
santiago del estero,3835869,AR,-27.8,-64.26,1588347999,291.19,100,57,1.07
chadiza,921028,ZM,-14.07,32.44,1588348000,293.04,32,64,2.44
gat,293842,IL,31.61,34.76,1588348002,293.54,5,66,0.89
ler,371466,SS,8.3,30.14,1588348003,308.16,56,24,1.64
gao,2457161,ML,16.64,1.64,1588347834,316.73,66,5,3.61
salisbury,2638664,GB,51.07,-1.8,1588347842,286.32,40,58,10.8
margate,2643044,GB,51.38,1.39,1588347882,285.37,75,69,1.34
key west,4160812,US,24.56,-81.78,1588348008,298.32,20,65,5.7
port hardy,6111862,CA,50.7,-127.42,1588348009,281.15,75,93,3.6
morondava,1058381,MG,-20.28,44.28,1588348010,299.53,0,79,6.03
loveland,5579368,US,40.4,-105.08,1588347939,293.15,1,42,2.1
saint-philippe,935215,RE,-21.36,55.77,1588348012,296.89,90,73,1.5
knysna,988698,ZA,-34.04,23.05,1588348014,292.15,100,77,2.6
baghdad,98182,IQ,33.34,44.4,1588347715,306.15,40,21,7.7
juneau,5554072,US,58.3,-134.42,1588348016,276.82,90,93,1.39
kaitangata,2208248,NZ,-46.28,169.85,1588348017,283.71,57,58,2.68
kloulklubed,7671223,PW,7.04,134.26,1588348019,297.15,90,100,1.5
lavrentiya,4031637,RU,65.58,-171.0,1588348020,265.78,0,95,3.22
taoudenni,2450173,ML,22.68,-3.98,1588348021,311.58,0,8,6.52
gurupi,3461724,BR,-11.73,-49.07,1588348022,302.59,97,56,2.89
sorong,1626542,ID,-0.88,131.25,1588348024,299.34,55,78,4.04
